entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Tuzantla,18.0,18.0,0.0,160.0,8.89,2020,6
Michoacán,Tzintzuntzan,54.0,47.0,0.0,235.4,5.01,2020,6
Michoacán,Tzitzio,54.0,44.0,0.0,230.0,5.23,2020,6
Michoacán,Uruapan,17490.0,17490.0,0.0,86000.0,4.92,2020,6
Michoacán,Vista Hermosa,2.0,0.0,0.0,0.0,0.0,2020,6
Michoacán,Yurécuaro,7.0,2.0,0.0,12.67,6.34,2020,6
Michoacán,Zacapu,3910.0,2962.0,0.0,14895.0,5.03,2020,6
Michoacán,Zinapécuaro,140.0,57.0,0.0,410.0,7.19,2020,6
Michoacán,Ziracuaretiro,5225.0,5225.0,0.0,27900.0,5.34,2020,6
Michoacán,Zitácuaro,1325.0,317.69,0.0,3131.34,9.86,2020,6
Total,Total,169939.45,164410.34,0.0,850433.01,5.17,2020,6
Michoacán,Acuitzio,2007.0,1842.0,0.0,11000.0,5.97,2020,7
Michoacán,Aguililla,45.0,36.0,0.0,195.5,5.43,2020,7
Michoacán,Apatzingán,981.0,644.0,0.0,3450.5,5.36,2020,7
Michoacán,Aquila,5.0,5.0,0.0,6.95,1.39,2020,7
Michoacán,Ario,16226.0,15858.0,0.0,100172.53,6.32,2020,7
Michoacán,Coalcomán de Vázquez Pallares,523.0,478.0,0.0,2622.0,5.49,2020,7
Michoacán,Coeneo,55.0,35.0,0.0,226.53,6.47,2020,7
Michoacán,Copándaro,4.0,4.0,0.0,26.0,6.5,2020,7
Michoacán,Cotija,2544.0,2533.0,0.0,16086.75,6.35,2020,7
Michoacán,Charapan,1780.0,1780.0,0.0,9208.52,5.17,2020,7
Michoacán,Charo,44.0,32.0,0.0,180.0,5.63,2020,7
Michoacán,Chilchota,1331.0,1321.0,0.0,7820.28,5.92,2020,7
Michoacán,Chinicuila,94.0,94.0,0.0,172.5,1.84,2020,7
Michoacán,Erongarícuaro,686.0,642.0,0.0,4486.79,6.99,2020,7
Michoacán,Hidalgo,51.0,32.83,0.0,144.16,4.39,2020,7
Michoacán,Huiramba,218.0,197.0,0.0,1130.31,5.74,2020,7
Michoacán,Indaparapeo,5.0,3.0,0.0,16.0,5.33,2020,7
Michoacán,Irimbo,182.0,138.38,0.0,522.02,3.77,2020,7
Michoacán,Jiménez,560.0,500.0,0.0,3254.4,6.51,2020,7
Michoacán,Jiquilpan,150.0,70.0,0.0,500.0,7.14,2020,7
Michoacán,Juárez,40.0,40.0,0.0,150.93,3.77,2020,7
Michoacán,Jungapeo,23.5,23.5,0.0,172.0,7.32,2020,7
Michoacán,Lagunillas,37.0,26.0,0.0,147.68,5.68,2020,7
Michoacán,Madero,1665.0,1438.0,0.0,11200.0,7.79,2020,7
Michoacán,Maravatío,9.0,9.0,0.0,25.32,2.81,2020,7
Michoacán,Morelia,1369.0,1198.0,0.0,8400.0,7.01,2020,7
Michoacán,Morelos,137.0,92.0,0.0,645.77,7.02,2020,7
Michoacán,Nocupétaro,6.0,6.0,0.0,43.0,7.17,2020,7
Michoacán,Nuevo Parangaricutiro,8940.0,8940.0,0.0,52731.53,5.9,2020,7
Michoacán,Nuevo Urecho,293.35,208.1,0.0,1360.5,6.54,2020,7
Michoacán,Ocampo,94.3,76.3,0.0,236.62,3.1,2020,7
Michoacán,Pajacuarán,6.0,6.0,0.0,35.0,5.83,2020,7
Michoacán,Pátzcuaro,1090.0,863.0,0.0,4834.03,5.6,2020,7
Michoacán,Peribán,11716.0,11705.0,0.0,83809.57,7.16,2020,7
Michoacán,Purépero,859.0,851.0,0.0,4552.58,5.35,2020,7
Michoacán,Queréndaro,32.0,18.0,0.0,110.0,6.11,2020,7
Michoacán,Quiroga,20.0,20.0,0.0,112.55,5.63,2020,7
Michoacán,Los Reyes,6329.0,6314.0,0.0,44085.82,6.98,2020,7
Michoacán,Sahuayo,10.0,10.0,0.0,55.0,5.5,2020,7
Michoacán,Salvador Escalante,16515.0,16205.0,0.0,98816.16,6.1,2020,7
Michoacán,Susupuato,203.3,203.3,0.0,720.7,3.55,2020,7
Michoacán,Tacámbaro,17110.0,16969.0,0.0,93569.03,5.51,2020,7
Michoacán,Tancítaro,22940.0,22940.0,0.0,128129.61,5.59,2020,7
Michoacán,Tangamandapio,3056.0,3056.0,0.0,20550.55,6.72,2020,7
Michoacán,Tangancícuaro,1854.0,1850.0,0.0,11295.15,6.11,2020,7
Michoacán,Tanhuato,10.0,2.0,0.0,15.95,7.97,2020,7
Michoacán,Taretan,2300.0,2300.0,0.0,13083.95,5.69,2020,7
Michoacán,Tarímbaro,2.0,2.0,0.0,10.2,5.1,2020,7
Michoacán,Tepalcatepec,17.0,0.0,0.0,0.0,0.0,2020,7
Michoacán,Tingambato,4150.0,4150.0,0.0,21932.62,5.28,2020,7
Michoacán,Tingüindín,5351.0,5336.0,0.0,39543.12,7.41,2020,7
Michoacán,Tlazazalca,274.0,270.0,0.0,1527.14,5.66,2020,7
Michoacán,Tocumbo,1038.0,1023.0,0.0,6704.03,6.55,2020,7
Michoacán,Turicato,6347.0,6045.0,0.0,35460.05,5.87,2020,7
Michoacán,Tuxpan,380.0,380.0,0.0,1758.98,4.63,2020,7
Michoacán,Tuzantla,18.0,18.0,0.0,180.0,10.0,2020,7
Michoacán,Tzintzuntzan,54.0,47.0,0.0,240.81,5.12,2020,7
Michoacán,Tzitzio,54.0,44.0,0.0,230.0,5.23,2020,7
