Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,14,Jalisco,72,Colotlán,3,Huejuquilla,61,Mezquitic,1.0,1.0,0.0,4.0,4.0,10000.0,40000.0
2003,14,Jalisco,72,Colotlán,2,Totatiche,115,Villa Guerrero,7.0,7.0,0.0,35.0,5.0,11000.0,385000.0
2003,14,Jalisco,72,Colotlán,2,Totatiche,104,Totatiche,3.0,3.0,0.0,20.0,6.67,10000.0,200000.0
2003,14,Jalisco,72,Colotlán,1,Huejúcar,81,Santa María de Los Ángeles,20.0,20.0,0.0,50.0,2.5,10000.0,500000.0
2003,14,Jalisco,72,Colotlán,1,Huejúcar,25,Colotlán,2.0,2.0,0.0,8.0,4.0,8000.0,64000.0
2003,14,Jalisco,71,Ciudad Guzmán,9,Tolimán,99,Tolimán,7.0,7.0,0.0,70.0,10.0,6500.0,455000.0
2003,14,Jalisco,71,Ciudad Guzmán,6,Sayula,113,San Gabriel,4.0,4.0,0.0,32.0,8.0,6500.0,208000.0
2003,14,Jalisco,71,Ciudad Guzmán,6,Sayula,82,Sayula,7.0,7.0,0.0,70.0,10.0,6500.0,455000.0
2003,14,Jalisco,71,Ciudad Guzmán,6,Sayula,79,Gómez Farías,85.0,85.0,0.0,765.0,9.0,6500.0,4972500.0
2003,14,Jalisco,71,Ciudad Guzmán,6,Sayula,23,Zapotlán el Grande,79.5,39.5,0.0,355.5,9.0,6500.0,2310750.0
2003,14,Jalisco,71,Ciudad Guzmán,5,Tuxpan,103,Tonila,10.0,10.0,0.0,75.0,7.5,6000.0,450000.0
2003,14,Jalisco,71,Ciudad Guzmán,5,Tuxpan,103,Tonila,12.0,12.0,0.0,120.0,10.0,6200.0,744000.0
2003,14,Jalisco,71,Ciudad Guzmán,4,Tamazula,85,Tamazula de Gordiano,34.0,34.0,0.0,306.0,9.0,6500.0,1989000.0
2003,14,Jalisco,72,Colotlán,3,Huejuquilla,61,Mezquitic,3.0,3.0,0.0,6.0,2.0,10000.0,60000.0
